[2024-03-31 21:08:18,402] [INFO] [real_accelerator.py:191:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2024-03-31 21:08:18,403] [INFO] [real_accelerator.py:191:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2024-03-31 21:08:18,617] [INFO] [comm.py:637:init_distributed] cdb=None
[2024-03-31 21:08:18,618] [INFO] [comm.py:637:init_distributed] cdb=None
[2024-03-31 21:08:18,618] [INFO] [comm.py:668:init_distributed] Initializing TorchBackend in DeepSpeed with backend nccl
Formatting inputs...Skip in lazy mode
Formatting inputs...Skip in lazy mode
{'loss': 8.9287, 'grad_norm': 65.11604309082031, 'learning_rate': 2.239140170174653e-07, 'epoch': 0.0}
{'loss': 9.5916, 'grad_norm': 70.80574035644531, 'learning_rate': 4.030452306314376e-06, 'epoch': 0.0}
{'loss': 9.2324, 'grad_norm': 83.16800689697266, 'learning_rate': 4.254366323331841e-06, 'epoch': 0.0}
{'loss': 8.6593, 'grad_norm': 69.61052703857422, 'learning_rate': 4.478280340349306e-06, 'epoch': 0.0}
{'loss': 8.9561, 'grad_norm': 62.43716812133789, 'learning_rate': 4.7021943573667714e-06, 'epoch': 0.0}
{'loss': 8.7873, 'grad_norm': 50.571250915527344, 'learning_rate': 4.926108374384236e-06, 'epoch': 0.0}
{'loss': 8.221, 'grad_norm': 53.39987564086914, 'learning_rate': 5.150022391401701e-06, 'epoch': 0.0}
{'loss': 8.3345, 'grad_norm': 45.216217041015625, 'learning_rate': 5.373936408419167e-06, 'epoch': 0.0}
{'loss': 9.1849, 'grad_norm': 76.9581527709961, 'learning_rate': 5.597850425436633e-06, 'epoch': 0.0}
{'loss': 8.8051, 'grad_norm': 45.39098358154297, 'learning_rate': 5.821764442454098e-06, 'epoch': 0.0}
{'loss': 9.0952, 'grad_norm': 55.7958869934082, 'learning_rate': 6.045678459471563e-06, 'epoch': 0.0}
{'loss': 8.4653, 'grad_norm': 52.613067626953125, 'learning_rate': 6.269592476489028e-06, 'epoch': 0.0}
{'loss': 8.2285, 'grad_norm': 41.939537048339844, 'learning_rate': 6.493506493506494e-06, 'epoch': 0.0}
{'loss': 8.3504, 'grad_norm': 60.00299835205078, 'learning_rate': 6.717420510523959e-06, 'epoch': 0.0}
{'loss': 7.962, 'grad_norm': 52.52145004272461, 'learning_rate': 6.941334527541425e-06, 'epoch': 0.0}
{'loss': 8.3153, 'grad_norm': 60.161834716796875, 'learning_rate': 7.16524854455889e-06, 'epoch': 0.0}
{'loss': 8.7586, 'grad_norm': 92.77308654785156, 'learning_rate': 7.389162561576355e-06, 'epoch': 0.0}
{'loss': 8.0258, 'grad_norm': 30.768278121948242, 'learning_rate': 7.6130765785938205e-06, 'epoch': 0.0}
{'loss': 7.3678, 'grad_norm': 33.56199264526367, 'learning_rate': 7.836990595611285e-06, 'epoch': 0.0}
{'loss': 8.7773, 'grad_norm': 68.19927215576172, 'learning_rate': 8.060904612628751e-06, 'epoch': 0.0}
{'loss': 7.9976, 'grad_norm': 35.38411331176758, 'learning_rate': 8.284818629646217e-06, 'epoch': 0.0}
{'loss': 8.0268, 'grad_norm': 36.587100982666016, 'learning_rate': 8.508732646663681e-06, 'epoch': 0.0}
{'loss': 7.2965, 'grad_norm': 41.49955368041992, 'learning_rate': 8.732646663681147e-06, 'epoch': 0.0}
{'loss': 8.2905, 'grad_norm': 37.196327209472656, 'learning_rate': 8.956560680698611e-06, 'epoch': 0.0}
{'loss': 7.9869, 'grad_norm': 28.948383331298828, 'learning_rate': 9.180474697716077e-06, 'epoch': 0.0}
{'loss': 8.1483, 'grad_norm': 108.89679718017578, 'learning_rate': 9.404388714733543e-06, 'epoch': 0.0}
{'loss': 7.6153, 'grad_norm': 35.7325553894043, 'learning_rate': 9.628302731751007e-06, 'epoch': 0.0}
{'loss': 7.8256, 'grad_norm': 40.789939880371094, 'learning_rate': 9.852216748768473e-06, 'epoch': 0.0}
{'loss': 7.3322, 'grad_norm': 27.034076690673828, 'learning_rate': 1.0076130765785939e-05, 'epoch': 0.0}
{'loss': 7.3239, 'grad_norm': 30.606468200683594, 'learning_rate': 1.0300044782803403e-05, 'epoch': 0.0}
{'loss': 7.1346, 'grad_norm': 36.89426803588867, 'learning_rate': 1.0523958799820869e-05, 'epoch': 0.0}
{'loss': 7.2882, 'grad_norm': 27.76320457458496, 'learning_rate': 1.0747872816838334e-05, 'epoch': 0.0}
{'loss': 7.8647, 'grad_norm': 34.61376190185547, 'learning_rate': 1.09717868338558e-05, 'epoch': 0.0}
{'loss': 7.6491, 'grad_norm': 32.37382507324219, 'learning_rate': 1.1195700850873266e-05, 'epoch': 0.0}
{'loss': 7.4381, 'grad_norm': 25.935503005981445, 'learning_rate': 1.141961486789073e-05, 'epoch': 0.0}
{'loss': 6.6773, 'grad_norm': 20.702716827392578, 'learning_rate': 1.1643528884908196e-05, 'epoch': 0.0}
{'loss': 6.6831, 'grad_norm': 38.27431106567383, 'learning_rate': 1.186744290192566e-05, 'epoch': 0.0}
{'loss': 7.2126, 'grad_norm': 23.349267959594727, 'learning_rate': 1.2091356918943126e-05, 'epoch': 0.0}
{'loss': 7.1983, 'grad_norm': 29.243013381958008, 'learning_rate': 1.2315270935960592e-05, 'epoch': 0.0}
{'loss': 7.0187, 'grad_norm': 27.5159969329834, 'learning_rate': 1.2539184952978056e-05, 'epoch': 0.0}
{'loss': 7.2877, 'grad_norm': 33.307979583740234, 'learning_rate': 1.2763098969995522e-05, 'epoch': 0.0}
{'loss': 7.1207, 'grad_norm': 27.350536346435547, 'learning_rate': 1.2987012987012988e-05, 'epoch': 0.0}
{'loss': 7.3996, 'grad_norm': 45.36179733276367, 'learning_rate': 1.3210927004030452e-05, 'epoch': 0.0}
{'loss': 6.2435, 'grad_norm': 21.462575912475586, 'learning_rate': 1.3434841021047918e-05, 'epoch': 0.0}
{'loss': 7.1741, 'grad_norm': 29.743558883666992, 'learning_rate': 1.3658755038065382e-05, 'epoch': 0.0}
{'loss': 7.2704, 'grad_norm': 30.775400161743164, 'learning_rate': 1.388266905508285e-05, 'epoch': 0.0}
{'loss': 6.937, 'grad_norm': 32.658897399902344, 'learning_rate': 1.4106583072100315e-05, 'epoch': 0.0}
{'loss': 7.0007, 'grad_norm': 31.611787796020508, 'learning_rate': 1.433049708911778e-05, 'epoch': 0.0}
{'loss': 7.1263, 'grad_norm': 29.566524505615234, 'learning_rate': 1.4554411106135245e-05, 'epoch': 0.0}
{'loss': 6.8228, 'grad_norm': 57.51749038696289, 'learning_rate': 1.477832512315271e-05, 'epoch': 0.0}
{'loss': 6.5889, 'grad_norm': 25.494577407836914, 'learning_rate': 1.5002239140170175e-05, 'epoch': 0.0}
{'loss': 6.7059, 'grad_norm': 24.320133209228516, 'learning_rate': 1.5226153157187641e-05, 'epoch': 0.0}
{'loss': 7.127, 'grad_norm': 23.96089744567871, 'learning_rate': 1.5450067174205105e-05, 'epoch': 0.0}
{'loss': 6.7839, 'grad_norm': 21.605464935302734, 'learning_rate': 1.567398119122257e-05, 'epoch': 0.0}
{'loss': 6.3272, 'grad_norm': 23.81056022644043, 'learning_rate': 1.5897895208240037e-05, 'epoch': 0.0}
{'loss': 7.7216, 'grad_norm': 28.82842445373535, 'learning_rate': 1.6121809225257503e-05, 'epoch': 0.0}
{'loss': 6.289, 'grad_norm': 63.56715774536133, 'learning_rate': 1.634572324227497e-05, 'epoch': 0.0}
{'loss': 6.6074, 'grad_norm': 28.78491973876953, 'learning_rate': 1.6569637259292434e-05, 'epoch': 0.0}
{'loss': 6.4702, 'grad_norm': 31.718732833862305, 'learning_rate': 1.6793551276309897e-05, 'epoch': 0.0}
{'loss': 6.4514, 'grad_norm': 24.21962547302246, 'learning_rate': 1.7017465293327362e-05, 'epoch': 0.0}
{'loss': 6.7705, 'grad_norm': 22.79511833190918, 'learning_rate': 1.7241379310344828e-05, 'epoch': 0.0}
{'loss': 7.0493, 'grad_norm': 53.491878509521484, 'learning_rate': 1.7465293327362294e-05, 'epoch': 0.0}
{'loss': 6.0675, 'grad_norm': 35.62357711791992, 'learning_rate': 1.768920734437976e-05, 'epoch': 0.0}
{'loss': 6.9514, 'grad_norm': 23.991291046142578, 'learning_rate': 1.7913121361397222e-05, 'epoch': 0.0}
{'loss': 6.4508, 'grad_norm': 24.012792587280273, 'learning_rate': 1.8137035378414688e-05, 'epoch': 0.0}
{'loss': 6.5896, 'grad_norm': 28.430322647094727, 'learning_rate': 1.8360949395432154e-05, 'epoch': 0.0}
{'loss': 6.0689, 'grad_norm': 24.825328826904297, 'learning_rate': 1.858486341244962e-05, 'epoch': 0.0}
{'loss': 6.1667, 'grad_norm': 24.40959930419922, 'learning_rate': 1.8808777429467086e-05, 'epoch': 0.0}
{'loss': 6.9186, 'grad_norm': 31.222667694091797, 'learning_rate': 1.903269144648455e-05, 'epoch': 0.0}
{'loss': 6.4128, 'grad_norm': 33.70414733886719, 'learning_rate': 1.9256605463502014e-05, 'epoch': 0.0}
{'loss': 6.5477, 'grad_norm': 26.72886848449707, 'learning_rate': 1.948051948051948e-05, 'epoch': 0.0}
{'loss': 5.8489, 'grad_norm': 29.58066749572754, 'learning_rate': 1.9704433497536946e-05, 'epoch': 0.0}
{'loss': 6.3485, 'grad_norm': 24.70054817199707, 'learning_rate': 1.992834751455441e-05, 'epoch': 0.0}
{'loss': 5.5836, 'grad_norm': 18.116086959838867, 'learning_rate': 2.0152261531571877e-05, 'epoch': 0.0}
{'loss': 6.4798, 'grad_norm': 17.352306365966797, 'learning_rate': 2.037617554858934e-05, 'epoch': 0.0}
{'loss': 5.7334, 'grad_norm': 18.837308883666992, 'learning_rate': 2.0600089565606806e-05, 'epoch': 0.0}
{'loss': 6.8155, 'grad_norm': 23.29251480102539, 'learning_rate': 2.082400358262427e-05, 'epoch': 0.0}
{'loss': 5.6704, 'grad_norm': 20.27841567993164, 'learning_rate': 2.1047917599641737e-05, 'epoch': 0.0}
{'loss': 6.2732, 'grad_norm': 22.32929039001465, 'learning_rate': 2.1271831616659203e-05, 'epoch': 0.0}
{'loss': 5.5277, 'grad_norm': 15.381762504577637, 'learning_rate': 2.149574563367667e-05, 'epoch': 0.0}
{'loss': 6.0126, 'grad_norm': 22.636144638061523, 'learning_rate': 2.1719659650694135e-05, 'epoch': 0.0}
{'loss': 5.7095, 'grad_norm': 21.69684600830078, 'learning_rate': 2.19435736677116e-05, 'epoch': 0.0}
{'loss': 5.5939, 'grad_norm': 16.181806564331055, 'learning_rate': 2.2167487684729066e-05, 'epoch': 0.0}
{'loss': 6.248, 'grad_norm': 31.987335205078125, 'learning_rate': 2.2391401701746532e-05, 'epoch': 0.0}
{'loss': 6.43, 'grad_norm': 24.23870086669922, 'learning_rate': 2.2615315718763995e-05, 'epoch': 0.0}
{'loss': 5.7782, 'grad_norm': 17.51861572265625, 'learning_rate': 2.283922973578146e-05, 'epoch': 0.0}
{'loss': 6.3286, 'grad_norm': 21.01476287841797, 'learning_rate': 2.3063143752798926e-05, 'epoch': 0.0}
{'loss': 6.5713, 'grad_norm': 24.65264320373535, 'learning_rate': 2.3287057769816392e-05, 'epoch': 0.0}
{'loss': 5.4158, 'grad_norm': 28.090238571166992, 'learning_rate': 2.3510971786833858e-05, 'epoch': 0.0}
{'loss': 6.2906, 'grad_norm': 23.08989715576172, 'learning_rate': 2.373488580385132e-05, 'epoch': 0.0}
{'loss': 5.6399, 'grad_norm': 20.394149780273438, 'learning_rate': 2.3958799820868786e-05, 'epoch': 0.0}
{'loss': 6.3406, 'grad_norm': 26.21368408203125, 'learning_rate': 2.4182713837886252e-05, 'epoch': 0.0}
{'loss': 5.7988, 'grad_norm': 26.14370346069336, 'learning_rate': 2.4406627854903718e-05, 'epoch': 0.0}
{'loss': 6.5034, 'grad_norm': 21.076154708862305, 'learning_rate': 2.4630541871921184e-05, 'epoch': 0.0}
{'loss': 5.6816, 'grad_norm': 25.514328002929688, 'learning_rate': 2.4854455888938646e-05, 'epoch': 0.0}
{'loss': 5.5649, 'grad_norm': 17.05501365661621, 'learning_rate': 2.5078369905956112e-05, 'epoch': 0.0}
{'loss': 5.9868, 'grad_norm': 24.057836532592773, 'learning_rate': 2.5302283922973578e-05, 'epoch': 0.0}
{'loss': 5.931, 'grad_norm': 32.97089385986328, 'learning_rate': 2.5526197939991044e-05, 'epoch': 0.0}
{'loss': 5.506, 'grad_norm': 17.5987491607666, 'learning_rate': 2.575011195700851e-05, 'epoch': 0.0}
{'loss': 6.2272, 'grad_norm': 17.328458786010742, 'learning_rate': 2.5974025974025975e-05, 'epoch': 0.0}
{'loss': 6.0133, 'grad_norm': 20.977190017700195, 'learning_rate': 2.6197939991043438e-05, 'epoch': 0.0}
{'loss': 5.953, 'grad_norm': 24.377716064453125, 'learning_rate': 2.6421854008060904e-05, 'epoch': 0.0}
{'loss': 5.9614, 'grad_norm': 17.837175369262695, 'learning_rate': 2.664576802507837e-05, 'epoch': 0.0}
{'loss': 5.4687, 'grad_norm': 21.845264434814453, 'learning_rate': 2.6869682042095835e-05, 'epoch': 0.0}
{'loss': 5.299, 'grad_norm': 28.903942108154297, 'learning_rate': 2.70935960591133e-05, 'epoch': 0.0}
{'loss': 5.5328, 'grad_norm': 20.830827713012695, 'learning_rate': 2.7317510076130764e-05, 'epoch': 0.0}
{'loss': 5.9091, 'grad_norm': 20.67920684814453, 'learning_rate': 2.7541424093148233e-05, 'epoch': 0.0}
{'loss': 5.8129, 'grad_norm': 26.626327514648438, 'learning_rate': 2.77653381101657e-05, 'epoch': 0.0}
{'loss': 6.1355, 'grad_norm': 23.234004974365234, 'learning_rate': 2.7989252127183164e-05, 'epoch': 0.0}
{'loss': 5.7478, 'grad_norm': 16.058176040649414, 'learning_rate': 2.821316614420063e-05, 'epoch': 0.0}
{'loss': 6.1254, 'grad_norm': 35.55209732055664, 'learning_rate': 2.8437080161218093e-05, 'epoch': 0.0}
{'loss': 5.475, 'grad_norm': 16.526020050048828, 'learning_rate': 2.866099417823556e-05, 'epoch': 0.0}
{'loss': 5.7004, 'grad_norm': 23.308866500854492, 'learning_rate': 2.8884908195253024e-05, 'epoch': 0.0}
{'loss': 5.1068, 'grad_norm': 29.5771484375, 'learning_rate': 2.910882221227049e-05, 'epoch': 0.0}
{'loss': 5.8233, 'grad_norm': 16.0235652923584, 'learning_rate': 2.9332736229287956e-05, 'epoch': 0.0}
{'loss': 5.7707, 'grad_norm': 16.839479446411133, 'learning_rate': 2.955665024630542e-05, 'epoch': 0.0}
{'loss': 5.0331, 'grad_norm': 16.013471603393555, 'learning_rate': 2.9780564263322884e-05, 'epoch': 0.0}
{'loss': 6.0012, 'grad_norm': 15.777132034301758, 'learning_rate': 3.000447828034035e-05, 'epoch': 0.0}
{'loss': 4.7276, 'grad_norm': 18.13397789001465, 'learning_rate': 3.0228392297357816e-05, 'epoch': 0.0}
{'loss': 5.8355, 'grad_norm': 16.11865997314453, 'learning_rate': 3.0452306314375282e-05, 'epoch': 0.0}
{'loss': 6.3985, 'grad_norm': 17.490171432495117, 'learning_rate': 3.067622033139275e-05, 'epoch': 0.0}
{'loss': 6.1107, 'grad_norm': 35.342105865478516, 'learning_rate': 3.090013434841021e-05, 'epoch': 0.0}
{'loss': 5.1516, 'grad_norm': 21.594064712524414, 'learning_rate': 3.112404836542768e-05, 'epoch': 0.0}
{'loss': 4.8478, 'grad_norm': 18.318723678588867, 'learning_rate': 3.134796238244514e-05, 'epoch': 0.0}
{'loss': 4.7916, 'grad_norm': 18.42548179626465, 'learning_rate': 3.157187639946261e-05, 'epoch': 0.0}
{'loss': 4.9096, 'grad_norm': 15.639266967773438, 'learning_rate': 3.1795790416480073e-05, 'epoch': 0.0}
{'loss': 4.7685, 'grad_norm': 14.471280097961426, 'learning_rate': 3.201970443349754e-05, 'epoch': 0.0}
{'loss': 5.8551, 'grad_norm': 13.924581527709961, 'learning_rate': 3.2243618450515005e-05, 'epoch': 0.0}
{'loss': 5.803, 'grad_norm': 23.357975006103516, 'learning_rate': 3.246753246753247e-05, 'epoch': 0.0}
{'loss': 5.7867, 'grad_norm': 16.246145248413086, 'learning_rate': 3.269144648454994e-05, 'epoch': 0.0}
{'loss': 5.8506, 'grad_norm': 17.4915714263916, 'learning_rate': 3.29153605015674e-05, 'epoch': 0.0}
{'loss': 5.3675, 'grad_norm': 15.33320140838623, 'learning_rate': 3.313927451858487e-05, 'epoch': 0.0}
{'loss': 5.7831, 'grad_norm': 26.906557083129883, 'learning_rate': 3.336318853560233e-05, 'epoch': 0.0}
{'loss': 4.6675, 'grad_norm': 18.78738784790039, 'learning_rate': 3.358710255261979e-05, 'epoch': 0.0}
{'loss': 5.0702, 'grad_norm': 17.418214797973633, 'learning_rate': 3.381101656963726e-05, 'epoch': 0.0}
{'loss': 4.6816, 'grad_norm': 12.750570297241211, 'learning_rate': 3.4034930586654725e-05, 'epoch': 0.0}
{'loss': 5.4915, 'grad_norm': 14.223008155822754, 'learning_rate': 3.4258844603672194e-05, 'epoch': 0.0}
{'loss': 5.2357, 'grad_norm': 24.764999389648438, 'learning_rate': 3.4482758620689657e-05, 'epoch': 0.0}
{'loss': 5.1954, 'grad_norm': 17.180200576782227, 'learning_rate': 3.470667263770712e-05, 'epoch': 0.0}
{'loss': 5.4217, 'grad_norm': 11.836076736450195, 'learning_rate': 3.493058665472459e-05, 'epoch': 0.0}
{'loss': 5.5343, 'grad_norm': 14.053503036499023, 'learning_rate': 3.515450067174205e-05, 'epoch': 0.0}
{'loss': 4.4256, 'grad_norm': 24.9639892578125, 'learning_rate': 3.537841468875952e-05, 'epoch': 0.0}
{'loss': 5.7583, 'grad_norm': 15.051042556762695, 'learning_rate': 3.560232870577698e-05, 'epoch': 0.0}
{'loss': 5.8548, 'grad_norm': 16.4491024017334, 'learning_rate': 3.5826242722794445e-05, 'epoch': 0.0}
{'loss': 5.7427, 'grad_norm': 14.973352432250977, 'learning_rate': 3.6050156739811914e-05, 'epoch': 0.0}
{'loss': 5.2252, 'grad_norm': 12.023263931274414, 'learning_rate': 3.6274070756829376e-05, 'epoch': 0.0}
{'loss': 5.4194, 'grad_norm': 22.30660629272461, 'learning_rate': 3.6497984773846846e-05, 'epoch': 0.0}
{'loss': 5.2479, 'grad_norm': 18.846555709838867, 'learning_rate': 3.672189879086431e-05, 'epoch': 0.0}
{'loss': 5.1932, 'grad_norm': 17.304241180419922, 'learning_rate': 3.694581280788178e-05, 'epoch': 0.0}
{'loss': 4.3339, 'grad_norm': 13.635074615478516, 'learning_rate': 3.716972682489924e-05, 'epoch': 0.0}
{'loss': 4.7584, 'grad_norm': 10.898419380187988, 'learning_rate': 3.73936408419167e-05, 'epoch': 0.0}
{'loss': 5.3572, 'grad_norm': 10.494206428527832, 'learning_rate': 3.761755485893417e-05, 'epoch': 0.0}
{'loss': 5.183, 'grad_norm': 12.160922050476074, 'learning_rate': 3.7841468875951634e-05, 'epoch': 0.0}
{'loss': 5.5656, 'grad_norm': 16.932966232299805, 'learning_rate': 3.80653828929691e-05, 'epoch': 0.0}
{'loss': 4.8596, 'grad_norm': 14.739702224731445, 'learning_rate': 3.8289296909986566e-05, 'epoch': 0.0}
{'loss': 4.9368, 'grad_norm': 15.515229225158691, 'learning_rate': 3.851321092700403e-05, 'epoch': 0.0}
{'loss': 5.4415, 'grad_norm': 13.332284927368164, 'learning_rate': 3.87371249440215e-05, 'epoch': 0.0}
